C,Bb,Eb,F,G
A7sus(b9),G7sus(b9),C7sus(b9),D7sus(b9),E7sus(b9)
Asus4,Gsus4,Csus4,Dsus4,Esus4
Asus4(addb2),Gsus4(addb2),Csus4(addb2),Dsus4(addb2),Esus4(addb2)
C#dim/E,Bdim/D,Edim/G,F#dim/A,G#dim/B
C13(b9),Bb13(b9),Eb13(b9),F13(b9),G13(b9)
C7(#9),Bb7(#9),Eb7(#9),F7(#9),G7(#9)
A7(#9),G7(#9),C7(#9),D7(#9),E7(#9)
C7(b9),Bb7(b9),Eb7(b9),F7(b9),G7(b9)
A/G,G/F,C/Bb,D/C,E/D
A7/G,G7/F,C7/Bb,D7/C,E7/D
C#dim/G,Bdim/F,Edim/Bb,F#dim/C,G#dim/D
DbdimMaj7,CbdimMaj7,FbdimMaj7,GbdimMaj7,AbdimMaj7
Edim11,Ddim11,Gdim11,Adim11,Bdim11
Edim7,Ddim7,Gdim7,Adim7,Bdim7
Edim7(b13),Ddim7(b13),Gdim7(b13),Adim7(b13),Bdim7(b13)
Bb-,Ab-,Db-,Eb-,F-
Bb-(add2),Ab-(add2),Db-(add2),Eb-(add2),F-(add2)
Bb-6,Ab-6,Db-6,Eb-6,F-6
Bb-6(9),Ab-6(9),Db-6(9),Eb-6(9),F-6(9)
Bb-Maj7,Ab-Maj7,Db-Maj7,Eb-Maj7,F-Maj7
Bb-Maj9,Ab-Maj9,Db-Maj9,Eb-Maj9,F-Maj9
Bbdim,Abdim,Dbdim,Ebdim,Fdim
Bbdim7,Abdim7,Dbdim7,Ebdim7,Fdim7
Bbdim9,Abdim9,Dbdim9,Ebdim9,Fdim9
BbdimMaj7,AbdimMaj7,DbdimMaj7,EbdimMaj7,FdimMaj7
C13sus(b9)(add3),Bb13sus(b9)(add3),Eb13sus(b9)(add3),F13sus(b9)(add3),G13sus(b9)(add3)
G-11(9)(b5),F-11(9)(b5),Bb-11(9)(b5),C-11(9)(b5),D-11(9)(b5)
G-11(b5),F-11(b5),Bb-11(b5),C-11(b5),D-11(b5)
G-13(9)(b5),F-13(9)(b5),Bb-13(9)(b5),C-13(9)(b5),D-13(9)(b5)
G-7(b5),F-7(b5),Bb-7(b5),C-7(b5),D-7(b5)
G-9(b5),F-9(b5),Bb-9(b5),C-9(b5),D-9(b5)
Gdim,Fdim,Bbdim,Cdim,Ddim
Gdim11,Fdim11,Bbdim11,Cdim11,Ddim11
Gdim7,Fdim7,Bbdim7,Cdim7,Ddim7
Gdim9,Fdim9,Bbdim9,Cdim9,Ddim9
A7(#9)(#5),G7(#9)(#5),C7(#9)(#5),D7(#9)(#5),E7(#9)(#5)
A7(#9)(b5),G7(#9)(b5),C7(#9)(b5),D7(#9)(b5),E7(#9)(b5)
A7(b13)(b9),G7(b13)(b9),C7(b13)(b9),D7(b13)(b9),E7(b13)(b9)
A7(b9)(b5),G7(b9)(b5),C7(b9)(b5),D7(b9)(b5),E7(b9)(b5)
Bb-(add2)/Db,Ab-(add2)/Cb,Db-(add2)/Fb,Eb-(add2)/Gb,F-(add2)/Ab
Bb-/Db,Ab-/Cb,Db-/Fb,Eb-/Gb,F-/Ab
Bbdim/Db,Abdim/Cb,Dbdim/Fb,Ebdim/Gb,Fdim/Ab
Eb13(#11)(9),Db13(#11)(9),Gb13(#11)(9),Ab13(#11)(9),Bb13(#11)(9)
Eb7,Db7,Gb7,Ab7,Bb7
Eb9,Db9,Gb9,Ab9,Bb9
Eb9(#11),Db9(#11),Gb9(#11),Ab9(#11),Bb9(#11)
F7(addb6),Eb7(addb6),Ab7(addb6),Bb7(addb6),C7(addb6)
F9(addb6),Eb9(addb6),Ab9(addb6),Bb9(addb6),C9(addb6)
FMaj7(b13),EbMaj7(b13),AbMaj7(b13),BbMaj7(b13),CMaj7(b13)
Gdim/Bb,Fdim/Ab,Bbdim/Db,Cdim/Eb,Ddim/F
Bb-(add2)/F,Ab-(add2)/Eb,Db-(add2)/Ab,Eb-(add2)/Bb,F-(add2)/C
Bb-/F,Ab-/Eb,Db-/Ab,Eb-/Bb,F-/C
Bbdim/E,Abdim/D,Dbdim/G,Ebdim/A,Fdim/B
